add-yield-none,12,20000,480000,28649927,59,-1350
add-none,12,40000,960000,11473772,11,-10833
add-yield-none,12,40000,960000,54494816,56,-16749
add-none,12,100000,2400000,28393580,11,-28166
add-yield-none,12,100000,2400000,143461457,59,-10397
add-yield-m,2,10000,40000,16235755,405,0
add-yield-s,2,1000,4000,1572552,393,0
add-yield-c,2,10000,40000,1824965,45,0
add-yield-m,4,10000,80000,65132166,814,0
add-yield-s,4,1000,8000,6960177,870,0
add-yield-c,4,10000,80000,5241741,65,0
add-yield-m,8,10000,160000,163283524,1020,0
add-yield-s,8,1000,16000,19711290,1231,0
add-yield-c,8,10000,160000,14636735,91,0
add-yield-m,12,10000,240000,230054304,958,0
add-yield-s,12,1000,24000,36508029,1521,0
add-yield-c,12,10000,240000,22868090,95,0
add-m,1,10000,20000,828770,41,0
add-s,1,10000,20000,525689,26,0
add-c,1,10000,20000,624452,31,0
add-m,2,10000,40000,2395869,59,0
add-s,2,10000,40000,3903705,97,0
add-c,2,10000,40000,1827463,45,0
add-m,4,10000,80000,15966487,199,0
add-s,4,10000,80000,20248885,253,0
add-c,4,10000,80000,6240799,78,0
add-m,8,10000,160000,25669409,160,0
add-s,8,10000,160000,72894833,455,0
add-c,8,10000,160000,13861621,86,0
add-m,12,10000,240000,34511479,143,0
add-s,12,10000,240000,174266340,726,0
add-c,12,10000,240000,19169990,79,0
