add-none,12,20000,480000,6096162,12,-5482
add-yield-none,12,20000,480000,27231476,56,-19
add-none,12,40000,960000,12206719,12,-6725
add-yield-none,12,40000,960000,54129726,56,-16850
add-none,12,100000,2400000,29494211,12,-41799
add-yield-none,12,100000,2400000,137665948,57,-61303
add-yield-m,2,10000,40000,16755843,418,0
add-yield-s,2,1000,4000,1607807,401,0
add-yield-c,2,10000,40000,1954177,48,0
add-yield-m,4,10000,80000,60149122,751,0
add-yield-s,4,1000,8000,4935480,616,0
add-yield-c,4,10000,80000,6412566,80,0
add-yield-m,8,10000,160000,-842597448,-5266,0
add-yield-s,8,1000,16000,18168733,1135,0
add-yield-c,8,10000,160000,12436110,77,0
add-yield-m,12,10000,240000,232657678,969,0
add-yield-s,12,1000,24000,35588797,1482,0
add-yield-c,12,10000,240000,22993583,95,0
add-none,1,10000,20000,488375,24,0
add-m,1,10000,20000,846488,42,0
add-s,1,10000,20000,548844,27,0
add-c,1,10000,20000,692922,34,0
add-none,2,10000,40000,700112,17,-3620
add-m,2,10000,40000,3063015,76,0
add-s,2,10000,40000,2960200,74,0
add-c,2,10000,40000,1573697,39,0
add-none,4,10000,80000,1217121,15,-1290
add-m,4,10000,80000,16572705,207,0
add-s,4,10000,80000,21730829,271,0
add-c,4,10000,80000,6517142,81,0
add-none,8,10000,160000,2113038,13,-2025
add-m,8,10000,160000,28031482,175,0
add-s,8,10000,160000,71366190,446,0
add-c,8,10000,160000,14190181,88,0
add-none,12,10000,240000,3118584,12,-1048
add-m,12,10000,240000,34133618,142,0
add-s,12,10000,240000,165608716,690,0
add-c,12,10000,240000,23013939,95,0
